ATS7i,AATS5m,AATS4p,AATS5p,AATS3i,AATS1s,AATS5s,ATSC7m,ATSC1v,ATSC7e,ATSC5s,AATSC0s,AATSC6s,MATS8c,MATS3e,MATS5i,GATS3c,GATS4m,GATS3v,GATS5e,SpMAD_Dzp,VR2_Dzs,BCUTc-1l,SpMax7_Bhm,SpMax6_Bhv,SpMin2_Bhv,SpMin1_Bhe,SpMax1_Bhp,SpMin2_Bhs,VCH-6,VPC-5,ASP-3,ASP-4,ASP-6,ASP-7,SHBd,SHdsCH,minHdsCH,minsCH3,mindssC,maxHdsCH,maxsCH3,hmax,MLFER_BO,MLFER_S,nTG12HeteroRing,GGI6,JGI4,SRW8,XLogP,pIC50
4816.361052,86.89571753,1.531828986,1.500766027,152.8145194,3.400276713,3.472770919,-489.586289,52.15085001,-0.261261,-6.429651645,1.322115484,-0.24538366,0.07659121,-0.112788346,0.238971129,1.256088054,0.886150109,1.01289038,1.481249775,7.058919674,8.905608286,-0.279509767,2.551234434,2.645815032,1.875024702,1.93207131,3.896142872,1.834395508,0.06953098,1.198857475,0.18124288,0.115785778,0.048913819,0.030718098,0.503017763,0,0,0,-0.08615162,0,0,0.58912037,1.389,2.233,0,0.201632653,0.049494949,8.186742787,4.364,8.522878745
9554.202929,88.02786483,1.621587626,1.624750514,153.3158805,3.39260263,3.242768959,-86.77073367,47.74517692,-0.34836526,-6.401419493,1.06683158,-0.065119291,0.089496747,-0.109463727,0.149585154,1.303341901,0.904319854,0.982132378,0.900089957,11.75587486,20.84455695,-0.358519676,2.978890676,2.79771285,1.92730598,1.934395115,3.890215166,1.878985381,0.093587242,1.804500494,0.181150295,0.117174137,0.048947297,0.030818365,0.49833494,0,0,0,-0.128492238,0,0,0.601573181,1.593,2.793,0,0.382040816,0.049777778,8.559294367,6.01,8.397940009
7458.95011,69.37889568,1.532961419,1.523304962,147.9858391,3.330246914,3.281986532,-463.4763143,67.22000172,-0.488076742,-2.835858586,1.156616672,-0.104738238,-0.039516323,-0.019615873,0.088477093,1.319618588,1.051076641,0.919362226,1.540068122,8.116112795,14.7492202,-0.338163369,2.619181914,2.749442853,1.934221507,2.057149342,4.027995264,1.879563734,0.095417517,1.507858186,0.17157076,0.109715706,0.043722119,0.028534844,0,0.644444444,0.644444444,0,-0.013096183,0.644444444,0,0.644444444,0.913,2.179,1,0.327346939,0.040716846,8.435766193,6.965,8.397940009
7458.95011,69.37889568,1.532961419,1.523304962,147.9858391,3.330246914,3.281986532,-463.4763143,67.22000172,-0.488076742,-2.835858586,1.156616672,-0.104738238,-0.039516323,-0.019615873,0.088477093,1.319618588,1.051076641,0.919362226,1.540068122,8.116112795,14.7492202,-0.338163369,2.619181914,2.749442853,1.934221507,2.057149342,4.027995264,1.879563734,0.095417517,1.507858186,0.17157076,0.109715706,0.043722119,0.028534844,0,0.644444444,0.644444444,0,-0.013096183,0.644444444,0,0.644444444,0.913,2.179,1,0.327346939,0.040716846,8.435766193,6.965,8
4816.361052,86.89571753,1.531828986,1.500766027,152.8145194,3.400276713,3.472770919,-489.586289,52.15085001,-0.261261,-6.429651645,1.322115484,-0.24538366,0.07659121,-0.112788346,0.238971129,1.256088054,0.886150109,1.01289038,1.481249775,7.058919674,8.905608286,-0.279509767,2.551234434,2.645815032,1.875024702,1.93207131,3.896142872,1.834395508,0.06953098,1.198857475,0.18124288,0.115785778,0.048913819,0.030718098,0.503017763,0,0,0,-0.08615162,0,0,0.58912037,1.389,2.233,0,0.201632653,0.049494949,8.186742787,4.364,7.602059991
7458.95011,69.37889568,1.532961419,1.523304962,147.9858391,3.330246914,3.281986532,-463.4763143,67.22000172,-0.488076742,-2.835858586,1.156616672,-0.104738238,-0.039516323,-0.019615873,0.088477093,1.319618588,1.051076641,0.919362226,1.540068122,8.116112795,14.7492202,-0.338163369,2.619181914,2.749442853,1.934221507,2.057149342,4.027995264,1.879563734,0.095417517,1.507858186,0.17157076,0.109715706,0.043722119,0.028534844,0,0.644444444,0.644444444,0,-0.013096183,0.644444444,0,0.644444444,0.913,2.179,1,0.327346939,0.040716846,8.435766193,6.965,7.522878745
7424.830666,62.94947603,1.386493151,1.306171703,153.4232737,3.777777778,3.536024306,-164.6124665,73.87855295,-0.067775531,-12.33159722,1.784613715,-0.015709394,0.283399302,5.55E-04,0.123183316,0.997980123,1.139329585,0.984431762,1.060143307,8.820966706,7.552133245,-0.382928471,2.475491476,2.646699721,1.888905885,1.931197103,3.8862702,1.80917262,0.065809464,1.173987208,0.18030682,0.115728434,0.047580003,0.030172846,1.113931487,0,0,1.467654216,-0.196627929,0,1.467654216,0.644910425,1.599,2.58,0,0.303673469,0.051851852,8.308199063,2.523,7.508638306
6751.004791,63.12846011,1.440069173,1.421034312,153.0161552,3.676190476,3.341269841,-203.3890655,22.25060803,-0.299764,-4.251147842,1.369146006,-0.121624494,0.152179641,-0.119619335,0.138425513,1.186958382,1.122363582,0.998741302,1.009424964,10.2150867,7.220993035,-0.358156053,2.619181914,2.649263554,1.890576323,1.931587168,3.885259226,1.889179405,0.06953098,1.042342281,0.182995376,0.117765296,0.049138957,0.031643111,1.147036842,0,0,0,-0.149760856,0,0,0.770702251,1.647,2.291,0,0.262040816,0.0418107,8.260234292,3.754,7.494850022
7458.95011,69.37889568,1.532961419,1.523304962,147.9858391,3.330246914,3.281986532,-463.4763143,67.22000172,-0.488076742,-2.835858586,1.156616672,-0.104738238,-0.039516323,-0.019615873,0.088477093,1.319618588,1.051076641,0.919362226,1.540068122,8.116112795,14.7492202,-0.338163369,2.619181914,2.749442853,1.934221507,2.057149342,4.027995264,1.879563734,0.095417517,1.507858186,0.17157076,0.109715706,0.043722119,0.028534844,0,0.644444444,0.644444444,0,-0.013096183,0.644444444,0,0.644444444,0.913,2.179,1,0.327346939,0.040716846,8.435766193,6.965,7.301029996
6160.084449,61.05781964,1.386493151,1.290446323,153.4232737,3.777777778,3.724826389,-34.136998,73.87855295,0.498956125,-11.81076389,1.784613715,-0.125566647,-0.024079288,5.55E-04,0.067884866,0.997079109,1.139329585,0.984431762,1.063895817,8.924472081,7.251782513,-0.382904806,2.545520971,2.695684345,1.889035623,1.931117459,3.886180564,1.809097346,0.065809464,1.18157471,0.179937406,0.117326082,0.04708587,0.030846257,1.085535124,0,0,1.477058637,-0.20749273,0,1.477058637,0.644861111,1.599,2.58,0,0.303673469,0.051851852,8.308199063,2.523,7.26760624
7635.064721,71.82997755,1.539982862,1.522656099,152.2482237,3.364864865,3.326699834,-99.62366361,61.35078142,-0.216107868,-7.186001428,1.108560351,-0.159312122,0.048586219,0.074641148,0.014829261,1.052936332,1.088929236,0.893919089,1.336701812,7.809812349,10.70021669,-0.294294551,2.679710144,2.795888258,1.967107223,1.941455168,4.050062288,1.898164018,0.156441043,2.077923366,0.160497822,0.100722565,0.039306577,0.024976804,0.385473002,1.169652778,0.553402778,0,-0.040596183,0.61625,0,0.61625,1.778,2.968,6,0.438412698,0.046651235,8.636397439,4.197,7.259637311
7458.95011,69.37889568,1.532961419,1.523304962,147.9858391,3.330246914,3.281986532,-463.4763143,67.22000172,-0.488076742,-2.835858586,1.156616672,-0.104738238,-0.039516323,-0.019615873,0.088477093,1.319618588,1.051076641,0.919362226,1.540068122,8.116112795,14.7492202,-0.338163369,2.619181914,2.749442853,1.934221507,2.057149342,4.027995264,1.879563734,0.095417517,1.507858186,0.17157076,0.109715706,0.043722119,0.028534844,0,0.644444444,0.644444444,0,-0.013096183,0.644444444,0,0.644444444,0.913,2.179,1,0.327346939,0.040716846,8.435766193,6.965,7.22184875
4816.361052,86.89571753,1.531828986,1.500766027,152.8145194,3.400276713,3.472770919,-489.586289,52.15085001,-0.261261,-6.429651645,1.322115484,-0.24538366,0.07659121,-0.112788346,0.238971129,1.256088054,0.886150109,1.01289038,1.481249775,7.058919674,8.905608286,-0.279509767,2.551234434,2.645815032,1.875024702,1.93207131,3.896142872,1.834395508,0.06953098,1.198857475,0.18124288,0.115785778,0.048913819,0.030718098,0.503017763,0,0,0,-0.08615162,0,0,0.58912037,1.389,2.233,0,0.201632653,0.049494949,8.186742787,4.364,7.22184875
9554.202929,88.02786483,1.621587626,1.624750514,153.3158805,3.39260263,3.242768959,-86.77073367,47.74517692,-0.34836526,-6.401419493,1.06683158,-0.065119291,0.089496747,-0.109463727,0.149585154,1.303341901,0.904319854,0.982132378,0.900089957,11.75587486,20.84455695,-0.358519676,2.978890676,2.79771285,1.92730598,1.934395115,3.890215166,1.878985381,0.093587242,1.804500494,0.181150295,0.117174137,0.048947297,0.030818365,0.49833494,0,0,0,-0.128492238,0,0,0.601573181,1.593,2.793,0,0.382040816,0.049777778,8.559294367,6.01,7.180456064
6751.004791,63.12846011,1.440069173,1.421034312,153.0161552,3.676190476,3.341269841,-203.3890655,22.25060803,-0.299764,-4.251147842,1.369146006,-0.121624494,0.152179641,-0.119619335,0.138425513,1.186958382,1.122363582,0.998741302,1.009424964,10.2150867,7.220993035,-0.358156053,2.619181914,2.649263554,1.890576323,1.931587168,3.885259226,1.889179405,0.06953098,1.042342281,0.182995376,0.117765296,0.049138957,0.031643111,1.147036842,0,0,0,-0.149760856,0,0,0.770702251,1.647,2.291,0,0.262040816,0.0418107,8.260234292,3.754,7.15490196
7589.309269,83.09625363,1.316619685,1.315193343,150.9694909,4.807189542,5.424479167,115.4731818,301.3345651,1.058678,-35.45138889,3.529486762,-0.066970979,-0.236424461,-0.028086318,0.021625377,0.90195066,0.94396418,1.015715309,1.182925781,9.273445557,10.32838124,-0.386217138,2.680770178,2.681684516,1.88643533,1.932759193,3.901853204,1.762170297,0.057647354,1.482975205,0.175747641,0.109722441,0.043299398,0.027206208,2.929789976,0,0,0,-0.887671485,0,0,0.728478009,1.441,2.874,0,0.668571429,0.060952381,8.507748733,1.381,7.113509275
6160.084449,61.05781964,1.386493151,1.290446323,153.4232737,3.777777778,3.724826389,-34.136998,73.87855295,0.498956125,-11.81076389,1.784613715,-0.125566647,-0.024079288,5.55E-04,0.067884866,0.997079109,1.139329585,0.984431762,1.063895817,8.924472081,7.251782513,-0.382904806,2.545520971,2.695684345,1.889035623,1.931117459,3.886180564,1.809097346,0.065809464,1.18157471,0.179937406,0.117326082,0.04708587,0.030846257,1.085535124,0,0,1.477058637,-0.20749273,0,1.477058637,0.644861111,1.599,2.58,0,0.303673469,0.051851852,8.308199063,2.523,7
10232.19453,66.04239965,1.340568361,1.372144681,157.0770366,3.777146465,3.316666667,-420.7770664,57.97645296,-0.731815688,-8.340769383,2.819452707,-0.020856114,0.023171296,-0.141276267,0.070054096,1.257698056,1.17440427,1.044633329,0.823151977,13.71388818,14.17346219,-0.370001434,2.789696873,2.86417843,1.947806997,1.93282929,3.886466908,1.853275329,0.093587242,1.401305741,0.183486162,0.119364071,0.05039693,0.031777396,0.516785109,0,0,0,-0.205822633,0,0,0.884868917,1.618,2.672,0,0.32244898,0.045206349,8.571113033,5.679,6.920818754
10232.19453,66.04239965,1.340568361,1.372144681,157.0770366,3.777146465,3.316666667,-420.7770664,57.97645296,-0.731815688,-8.340769383,2.819452707,-0.020856114,0.023171296,-0.141276267,0.070054096,1.257698056,1.17440427,1.044633329,0.823151977,13.71388818,14.17346219,-0.370001434,2.789696873,2.86417843,1.947806997,1.93282929,3.886466908,1.853275329,0.093587242,1.401305741,0.183486162,0.119364071,0.05039693,0.031777396,0.516785109,0,0,0,-0.205822633,0,0,0.884868917,1.618,2.672,0,0.32244898,0.045206349,8.571113033,5.679,6.920818754
7424.830666,62.94947603,1.386493151,1.306171703,153.4232737,3.777777778,3.536024306,-164.6124665,73.87855295,-0.067775531,-12.33159722,1.784613715,-0.015709394,0.283399302,5.55E-04,0.123183316,0.997980123,1.139329585,0.984431762,1.060143307,8.820966706,7.552133245,-0.382928471,2.475491476,2.646699721,1.888905885,1.931197103,3.8862702,1.80917262,0.065809464,1.173987208,0.18030682,0.115728434,0.047580003,0.030172846,1.113931487,0,0,1.467654216,-0.196627929,0,1.467654216,0.644910425,1.599,2.58,0,0.303673469,0.051851852,8.308199063,2.523,6.850780887
9554.202929,88.02786483,1.621587626,1.624750514,153.3158805,3.39260263,3.242768959,-86.77073367,47.74517692,-0.34836526,-6.401419493,1.06683158,-0.065119291,0.089496747,-0.109463727,0.149585154,1.303341901,0.904319854,0.982132378,0.900089957,11.75587486,20.84455695,-0.358519676,2.978890676,2.79771285,1.92730598,1.934395115,3.890215166,1.878985381,0.093587242,1.804500494,0.181150295,0.117174137,0.048947297,0.030818365,0.49833494,0,0,0,-0.128492238,0,0,0.601573181,1.593,2.793,0,0.382040816,0.049777778,8.559294367,6.01,6.826813732
6160.084449,61.05781964,1.386493151,1.290446323,153.4232737,3.777777778,3.724826389,-34.136998,73.87855295,0.498956125,-11.81076389,1.784613715,-0.125566647,-0.024079288,5.55E-04,0.067884866,0.997079109,1.139329585,0.984431762,1.063895817,8.924472081,7.251782513,-0.382904806,2.545520971,2.695684345,1.889035623,1.931117459,3.886180564,1.809097346,0.065809464,1.18157471,0.179937406,0.117326082,0.04708587,0.030846257,1.085535124,0,0,1.477058637,-0.20749273,0,1.477058637,0.644861111,1.599,2.58,0,0.303673469,0.051851852,8.308199063,2.523,6.821023053
